,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fayhoo,0.0,0.0,0.0,5.0,1.0,4.0,157.0,215.0,331.0,404.0,2764.0,6447.0,4126.0,1586.0,2158,305
Ffaarr,0.0,0.0,22227.0,14826.0,1276.0,1158.0,692.0,1374.0,923.0,683.0,1685.0,274.0,66.0,89.0,505,127
FireFeather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,948.0,3009,705
ForwardXu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,211.0,2327.0,324,22
Francotsangfh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.0,22209,4485
Gakmo,62.0,1455.0,1912.0,1805.0,1343.0,1135.0,305.0,1529.0,8110.0,4386.0,5235.0,4432.0,675.0,201.0,81,1
Galaxyharrylion,0.0,0.0,0.0,1915.0,4506.0,856.0,46.0,248.0,1205.0,217.0,600.0,377.0,40.0,3194.0,845,266
Gszq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,6.0,715.0,177.0,131,123
H2244932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.0,2176,307
Hal_0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,12.0,0.0,1655,1650
Hamishcn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3513,52
Happy60907,0.0,0.0,0.0,0.0,0.0,0.0,172.0,2568.0,2383.0,68.0,46.0,17.0,40.0,710.0,2267,363
Hat600,0.0,0.0,0.0,0.0,0.0,118.0,7619.0,5985.0,4412.0,10635.0,4311.0,2796.0,2032.0,2673.0,1631,403
Hikaruangeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,29.0,0.0,3409,43
Howbunbun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1297,138
Huihengchen,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,1.0,39.0,133.0,37.0,41.0,169,13
IMJENRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1159.0,1948.0,3801,248
Iokseng,0.0,0.0,0.0,8276.0,9261.0,5769.0,5204.0,9907.0,12959.0,23200.0,13998.0,11377.0,24308.0,18441.0,19543,3524
Irc782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,13.0,0.0,41.0,149,9
It's_gonna_be_awesome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1046.0,15362,3975
Itsminecookies,0.0,1.0,3591.0,8466.0,4254.0,479.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,6,0
Jacklamf1d14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,4216.0,5741.0,3832.0,4392,1024
Jane9306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,384,507
Jarl_Sverre,0.0,0.0,0.0,9.0,145.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,376.0,1213,218
Jarodalien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,50.0,19508.0,19292.0,27056.0,25509.0,2538,0
Jason22,0.0,0.0,103.0,2328.0,4836.0,2185.0,512.0,1749.0,4346.0,1239.0,1150.0,592.0,54.0,68.0,1451,106
Jasonzhuocn,0.0,706.0,2071.0,3535.0,5046.0,1768.0,3265.0,5225.0,1491.0,1196.0,1065.0,238.0,5957.0,3900.0,270,27
Jessicat830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,106,79
Jimmy_Xu,0.0,0.0,0.0,0.0,0.0,506.0,9059.0,2797.0,4684.0,9322.0,8625.0,5485.0,4125.0,2158.0,71,3
Jimmy_wiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,771,102
John123521,0.0,0.0,0.0,530.0,587.0,406.0,698.0,256.0,393.0,411.0,319.0,279.0,1671.0,2800.0,1475,240
John_doe_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,548,194
Joshua_Zhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4512.0,15049,3390
Joylintp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,148.0,11.0,10,0
Jpcomic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,4140,2
Jsjsjs1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.0,2484.0,8311.0,1772.0,516.0,29.0,725.0,246,32
Kanashimi,0.0,0.0,80.0,68.0,114.0,460.0,577.0,1216.0,1288.0,1017.0,2287.0,2492.0,3029.0,3944.0,1879,683
Kegns,0.0,0.0,0.0,0.0,24.0,2795.0,3487.0,1520.0,1272.0,1110.0,2617.0,1475.0,1328.0,1787.0,381,23
Kencola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,80.0,49.0,332.0,88,19
Kolyma,0.0,0.0,0.0,0.0,0.0,9070.0,10329.0,11620.0,10181.0,16104.0,13960.0,12313.0,12983.0,9438.0,12490,2388
Kou_Dou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,101.0,5607.0,261.0,275.0,4742,315
Kuailong,0.0,0.0,0.0,0.0,80.0,0.0,3922.0,4862.0,1886.0,2717.0,4702.0,4956.0,2784.0,2417.0,841,473
LDM2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,70.0,61,0
LHD,0.0,0.0,48.0,0.0,74.0,17.0,512.0,379.0,9.0,0.0,3.0,885.0,3332.0,4820.0,3099,832
LNDDYL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898.0,6259.0,6113.0,1143.0,2890,305
Lakokat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,12657.0,5979.0,1445.0,1484.0,1327.0,227,24
Lanwi1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,2001.0,6438.0,24817.0,12497.0,5916.0,9928,1589
Legolas1024,0.0,0.0,0.0,0.0,0.0,30.0,315.0,408.0,1044.0,406.0,1155.0,701.0,579.0,959.0,693,114
Leiem,0.0,0.0,0.0,0.0,0.0,6.0,1.0,201.0,677.0,490.0,536.0,2607.0,1503.0,2520.0,7296,4123
Lily135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.0,2513,18
Liu116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,2386.0,17529.0,13372.0,9580,2139
Lnnocentius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,4403.0,3591,1427
Lqg159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,317,38
Lt2818,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,64.0,223.0,135.0,80.0,70.0,63,5
Manchiu,0.0,0.0,0.0,0.0,0.0,3650.0,15327.0,7451.0,469.0,11.0,21.0,13.0,3.0,12.0,9259,1055
Marvin_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,70.0,1863.0,620.0,663.0,684.0,686.0,129,95
Matt_Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,2328.0,3878.0,2041,392
Meidosensei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3639.0,7556,161
Mewaqua,0.0,0.0,0.0,1852.0,3234.0,3102.0,1791.0,2709.0,3559.0,3008.0,3604.0,3747.0,6304.0,6161.0,4941,1307
Morgan_Siu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2061,0
Mrhso2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,235,17
Nbfreeh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.0,2787.0,1129,91
Neville_Wang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,942,6
New_visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,52.0,86,11
Njzjz,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,212.0,998.0,60.0,4773,1716
No1lovesu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1294.0,2028.0,2633.0,4743,1151
O1lI0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562,39
Ochloese,0.0,0.0,0.0,1.0,35.0,1695.0,3017.0,878.0,13.0,11.0,0.0,162.0,221.0,13.0,91,0
Opky9407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.0,76,1
Panzer_VI-II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,969.0,9054.0,2566.0,1436.0,3574,1039
Paoting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,187.0,25,0
PhiLiP,0.0,0.0,8.0,1363.0,14634.0,17910.0,18199.0,7798.0,3520.0,82.0,102.0,83.0,1267.0,3776.0,1201,180
PlyrStar93,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,12.0,48.0,68.0,13.0,3.0,718,63
Qinyongr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,6094.0,33,5
RabbitMeow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,3077,520
Red16,0.0,0.0,0.0,0.0,3077.0,3540.0,2066.0,1757.0,1383.0,1253.0,1106.0,417.0,652.0,781.0,672,124
Reke,0.0,0.0,0.0,0.0,2.0,116.0,63.0,458.0,2199.0,810.0,307.0,212.0,518.0,385.0,753,362
Richard923888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,3117.0,8071,515
Ricknator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,268.0,292.0,4,0
S099001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,56.0,254.0,1272.0,1944,453
Sacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,67.0,279,72
Shizhao,6420.0,22833.0,30609.0,24813.0,19649.0,14726.0,14397.0,21024.0,15404.0,13298.0,9857.0,9664.0,9950.0,6346.0,7035,2395
Shopping0624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,147.0,338,99
