,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Zhangguozhen,,,,,,,,,,,,,,155.0,51,1
Zhanghui66,,,,,,,,,,,,14.0,17.0,170.0,36,17
Zhangzj_cet,,,,,,,,9.0,20.0,177.0,829.0,595.0,641.0,141.0,212,46
Zhxy_519,,,1.0,36.0,408.0,1197.0,1608.0,1883.0,2163.0,1452.0,468.0,796.0,199.0,197.0,365,27
丁子君,,,,,,,,,,,,,,853.0,857,61
佛壁灯,,,,,,,,,,,,,7.0,22.0,120,44
写字板,,,,,,,,,,,,,1333.0,447.0,360,5
南极熊,,,,,,,,,,,,,,428.0,634,402
卡達,,,,,,1.0,0.0,0.0,7.0,21.0,47.0,213.0,1144.0,1078.0,2085,446
和平奮鬥救地球,,,,,,,,,,,9.0,1028.0,7936.0,7616.0,1036,0
嘀嘀嘀,,,,,,,,,,,,30.0,92.0,6.0,2,0
坚决杀毒2008,,,,,,,,,,,,,227.0,1237.0,253,236
太子太保啦啦,,,,,,,,,,,,1152.0,2166.0,712.0,674,398
守望者爱孟,,,,,,,,,,,3492.0,22.0,0.0,0.0,338,0
宋世怡,,,,,,,,,,,,,,19.0,562,102
宋仲慧,,,,,,,,,,,,,,465.0,190,14
小躍,,,,,,,1245.0,90.0,567.0,50.0,32.0,275.0,6018.0,5681.0,1970,177
彭鹏,,,1248.0,254.0,542.0,583.0,378.0,768.0,3258.0,841.0,997.0,1795.0,127.0,79.0,452,279
我乃野云鹤,,,,,,,,,,9.0,494.0,1189.0,124.0,0.0,981,324
星巴克女王,,,,,,,,,,,,,619.0,1940.0,6006,202
星耀晨曦,,,,,,,,,,,,,,739.0,529,34
春卷柯南,,,,,6.0,287.0,141.0,48.0,463.0,294.0,367.0,739.0,962.0,1016.0,869,230
暖城2016-02-05,,,,,,,,,,,,,,3665.0,5238,63
李4,,,,,,,,,,,,,2120.0,1045.0,67,0
杰里毛斯,,,,,,,,,,,,,,,532,16
樑桂,,,,,,,,,,131.0,533.0,358.0,24.0,454.0,889,12
武藏,,,,3054.0,3310.0,56.0,18.0,3.0,453.0,985.0,1176.0,411.0,804.0,150.0,568,43
油条烧饼麻花,,,,,,,,,,,9.0,34.0,427.0,598.0,267,96
淺藍雪,,,,,,,54.0,41.0,15.0,632.0,9115.0,6900.0,8572.0,7328.0,5689,2758
瑞丽江的河水,,,,,,,,,,,,,,37.0,6184,1889
申花蓝血人,,,,,,,,,,,,18.0,39.0,555.0,164,168
石家庄小伙,,,,,,,,,,232.0,57.0,9.0,60.0,28.0,1,96
空间的拓荒者,,,,,,,,,,,,245.0,251.0,125.0,909,90
老陳,,,,,355.0,1565.0,1916.0,809.0,1606.0,2245.0,2210.0,1581.0,1637.0,1893.0,1325,118
胡蘿蔔,,,,,,,,1.0,142.0,70.0,1011.0,1606.0,4418.0,3459.0,1400,464
脳内補完,,,,,0.0,0.0,0.0,0.0,0.0,144.0,468.0,193.0,13.0,21.0,74,16
苏你妹~,,,,,,,,,,,0.0,1039.0,2761.0,2081.0,635,26
范,,,,,,,,,,792.0,1311.0,1021.0,1250.0,349.0,6,0
葉又嘉,,,,,,,,,,,,,2562.0,5081.0,3111,782
蘇州宇文宙武,,,,7.0,4188.0,598.0,6203.0,0.0,107.0,2314.0,2498.0,1985.0,1144.0,932.0,382,129
蘭斯特,,,,,,,,,,,,,31.0,30.0,8153,398
追迹未来,,,,,,,,,,,,5.0,1397.0,607.0,7,0
金善賢,,,,,,,,,,81.0,2053.0,885.0,95.0,176.0,398,31
金牌雄鹰,,,,,,,,,,,,,33.0,60.0,42,3
霧島聖,,,,,,,,,,,208.0,76.0,610.0,1322.0,407,132
飞贼燕子,,,,,,,,,,,,2210.0,670.0,204.0,597,70
香港中立人,,,,,,,,,,,,,,74.0,18,1
骑鹿的阿瑟先生,,,,,,,,,,,,,,,603,176
鱼头炮,,,,,,,,,,,,,,,1627,18
