,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jimmy_Xu,,,,,,176.0,3140.0,967.0,1914.0,4606.0,2775.0,1777.0,1753.0,720.0,10,0
Jimmy_wiki,,,,,,,,,,,,,,36.0,29,0
John123521,,,,48.0,262.0,149.0,113.0,64.0,157.0,117.0,101.0,68.0,519.0,702.0,228,45
John_doe_120,,,,,,,,,,,,,,180.0,258,115
Joshua_Zhan,,,,,,,,,,,,,,149.0,1090,185
Joylintp,,,,,,,,,,,,0.0,28.0,0.0,1,0
Jpcomic,,,,,,,,,,,,,,1.0,1107,0
Jsjsjs1111,,,,,,,,531.0,801.0,2235.0,744.0,185.0,11.0,213.0,59,23
Kanashimi,,,12.0,3.0,0.0,2.0,5.0,10.0,9.0,13.0,12.0,3.0,187.0,268.0,357,41
Kegns,,,,,0.0,545.0,967.0,506.0,275.0,190.0,725.0,516.0,400.0,372.0,187,12
Kencola,,,,,,,,,,,1.0,0.0,0.0,12.0,3,2
Kolyma,,,,,,476.0,433.0,640.0,312.0,1425.0,1593.0,648.0,580.0,399.0,285,181
Kou_Dou,,,,,,,,,,0.0,0.0,1365.0,54.0,96.0,1302,123
Kuailong,,,,,0.0,0.0,1481.0,1727.0,681.0,653.0,650.0,1245.0,514.0,390.0,132,97
LDM2060,,,,,,,,,,,,,2.0,4.0,5,0
LHD,,,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,44.0,297.0,663.0,219,46
LNDDYL,,,,,,,,,,,197.0,1132.0,1830.0,278.0,458,50
Lakokat,,,,,,,,,105.0,2489.0,1087.0,256.0,309.0,238.0,31,5
Lanwi1,,,,,,,,,0.0,270.0,1484.0,4640.0,3015.0,2131.0,3367,859
Legolas1024,,,,,,0.0,16.0,138.0,276.0,92.0,295.0,129.0,50.0,123.0,69,5
Leiem,,,,,,0.0,0.0,11.0,61.0,8.0,30.0,117.0,136.0,122.0,510,156
Lily135,,,,,,,,,,,,,,967.0,617,10
Liu116,,,,,,,,,,,65.0,415.0,651.0,941.0,972,146
Lnnocentius,,,,,,,,,,,,,101.0,809.0,855,365
Lqg159,,,,,,,,,,,,,,0.0,1,0
Lt2818,,,,,,,4.0,0.0,0.0,4.0,48.0,39.0,30.0,26.0,9,2
Manchiu,,,,,,451.0,3279.0,2606.0,208.0,1.0,0.0,0.0,0.0,0.0,2505,245
Marvin_2009,,,,,,,,0.0,3.0,428.0,167.0,120.0,51.0,125.0,24,19
Matt_Smith,,,,,,,,,,,,23.0,410.0,133.0,215,32
Meidosensei,,,,,,,,,,,,,0.0,222.0,492,57
Mewaqua,,,,577.0,628.0,897.0,537.0,496.0,827.0,325.0,637.0,699.0,742.0,580.0,421,63
Morgan_Siu,,,,,,,,,,,,,,1.0,465,0
Mrhso2014,,,,,,,,,,,,,4.0,0.0,11,0
Nbfreeh,,,,,,,,,,,,,899.0,632.0,220,26
Neville_Wang,,,,,,,,,,,,,,222.0,357,0
New_visitor,,,,,,,,,,,,,26.0,6.0,11,2
Njzjz,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,468,33
No1lovesu,,,,,,,,,,,0.0,86.0,164.0,242.0,469,92
O1lI0,,,,,,,,,,,,,,,107,18
Ochloese,,,,0.0,0.0,423.0,812.0,237.0,5.0,2.0,0.0,34.0,51.0,1.0,10,0
Opky9407,,,,,,,,,,,,,0.0,1.0,48,1
Panzer_VI-II,,,,,,,,,,0.0,141.0,2001.0,451.0,244.0,981,226
Paoting,,,,,,,,,,,,,37.0,17.0,8,0
PhiLiP,,,0.0,60.0,1588.0,2498.0,3830.0,1983.0,628.0,12.0,0.0,21.0,43.0,138.0,472,78
PlyrStar93,,,,,,,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,84,11
Qinyongr,,,,,,,,,,,,,25.0,1899.0,6,0
RabbitMeow,,,,,,,,,,,,,,117.0,930,152
Red16,,,,,319.0,419.0,114.0,67.0,112.0,69.0,98.0,34.0,64.0,64.0,34,13
Reke,,,,,0.0,1.0,2.0,86.0,1073.0,455.0,132.0,60.0,153.0,170.0,300,109
Richard923888,,,,,,,,,,,,,63.0,455.0,1697,51
Ricknator,,,,,,,,,,,,0.0,183.0,126.0,4,0
S099001,,,,,,,,,,,0.0,2.0,3.0,131.0,267,44
Sacha,,,,,,,,,,,,,5.0,1.0,22,6
Shizhao,1600.0,5491.0,6624.0,6956.0,4882.0,4245.0,4140.0,7177.0,5454.0,4779.0,3936.0,4676.0,3662.0,2551.0,3176,866
Shopping0624,,,,,,,,,,,,0.0,0.0,1.0,11,0
Shwangtianyuan,,,,,,,,,,13.0,15.0,83.0,700.0,1322.0,1152,292
Smallpei,,,,,,,,,,,,,,,267,12
Snghrax,,,,,,,,,,,,,,,329,123
Stang,,,,,,,,,,,,,1281.0,1605.0,474,109
Staph aureus,,,,,,,,0.0,0.0,2.0,9.0,1.0,0.0,0.0,8,1
StevenK234,,,,,,,,,,,,0.0,379.0,516.0,505,42
Subscriptshoe9,,,,,,,,,,,0.0,38.0,1210.0,1223.0,459,146
SyaNHs,,,,,,,2.0,1446.0,378.0,317.0,132.0,94.0,10.0,61.0,1,0
SzMithrandir,,,,,,,,,1.0,0.0,43.0,143.0,776.0,54.0,75,122
T.A_Shirakawa,,,1.0,10.0,44.0,830.0,1311.0,2842.0,1197.0,859.0,577.0,587.0,768.0,177.0,221,0
TSVC1190,,,,,,,,,,0.0,0.0,0.0,0.0,127.0,175,3
TaiwanAlex1,,,,,,2.0,0.0,0.0,743.0,499.0,129.0,39.0,472.0,605.0,348,0
Tanimodori,,,,,,,,,,,,,,19.0,354,0
Tb095811zhwiki,,,,,,,,,,,,6.0,1887.0,797.0,111,0
Techyan,,,,,,,,,,0.0,288.0,383.0,460.0,978.0,430,292
Temp3600,,,,,,,,0.0,0.0,45.0,229.0,649.0,941.0,546.0,1239,160
The_powder_toy,,,,,,,,,,,394.0,543.0,104.0,22.0,34,0
Theodore_Xu,,,,,,,,,,,,,,,502,319
Tigerzeng,,,,,,,,,,,,232.0,268.0,936.0,992,235
Vanished user 1929210,,,,,,,,,,,,,13.0,671.0,966,0
Vinct_1998,,,,,,,,,,,0.0,310.0,153.0,41.0,49,1
WAN233,,,,,,,,,,,,,,54.0,360,23
WQL,,,,,,,,,,,1.0,6.0,4.0,1.0,1361,1001
Waihorace,,,,,,21.0,397.0,7287.0,4982.0,3053.0,1763.0,13.0,20.0,24.0,37,0
Walter_Grassroot,,,,,,10.0,1634.0,800.0,312.0,131.0,344.0,436.0,601.0,265.0,379,131
Wcam,,,,,1.0,322.0,2303.0,554.0,17.0,21.0,216.0,311.0,1225.0,892.0,2004,517
Wetrace,,,,,,,,,,796.0,1486.0,359.0,956.0,1752.0,211,32
Whaterss,,,,,,,,,,,,141.0,489.0,0.0,45,0
WhitePhosphorus,,,,,,,,,,,,569.0,225.0,64.0,2042,72
Wikijjj0001,,,,,,,,,,,,,,205.0,69,0
Wildcursive,,,,,,0.0,0.0,3.0,163.0,567.0,921.0,229.0,170.0,248.0,119,144
WilliamSkyWalk,,,,,,,,,,20.0,37.0,3.0,0.0,747.0,95,1
Winertai,,,,1167.0,1696.0,853.0,269.0,557.0,663.0,69.0,42.0,22.0,11.0,70.0,11,2
Wolfch,,,,5.0,6.0,9.0,189.0,812.0,2177.0,912.0,1653.0,1206.0,1075.0,1251.0,1936,363
Wong128hk,,,,103.0,1859.0,2282.0,4246.0,1194.0,1892.0,631.0,831.0,834.0,1086.0,179.0,4258,1530
Xiplus,,,,,,,,0.0,0.0,0.0,65.0,29.0,0.0,2094.0,4159,1140
Y814756748,,,,,,,,,,,98.0,107.0,19.0,31.0,7,14
You_are_my_everything_Taipei,,,,,,,,,,,,,,,106,9
Z1148059382,,,,,,,,,,0.0,45.0,0.0,0.0,0.0,7,0
Z7504,,,,,,,,,,,,5.0,125.0,2845.0,8529,2792
ZEdzEd3168,,,,,,,,,,,,,,22.0,875,73
Zhangguozhen,,,,,,,,,,,,,,13.0,3,0
Zhanghui66,,,,,,,,,,,,0.0,0.0,12.0,9,4
Zhangzj_cet,,,,,,,,1.0,3.0,19.0,49.0,8.0,17.0,0.0,4,2
Zhxy_519,,,0.0,0.0,95.0,119.0,214.0,288.0,668.0,718.0,262.0,334.0,146.0,62.0,127,5
丁子君,,,,,,,,,,,,,,26.0,39,5
佛壁灯,,,,,,,,,,,,,0.0,0.0,35,1
写字板,,,,,,,,,,,,,721.0,559.0,147,0
南极熊,,,,,,,,,,,,,,288.0,368,374
卡達,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,19.0,872,202
和平奮鬥救地球,,,,,,,,,,,0.0,188.0,3890.0,6620.0,1264,0
嘀嘀嘀,,,,,,,,,,,,19.0,45.0,7.0,2,0
坚决杀毒2008,,,,,,,,,,,,,6.0,50.0,16,5
太子太保啦啦,,,,,,,,,,,,71.0,389.0,204.0,88,32
守望者爱孟,,,,,,,,,,,1908.0,42.0,0.0,0.0,347,0
宋世怡,,,,,,,,,,,,,,0.0,34,2
宋仲慧,,,,,,,,,,,,,,62.0,113,19
小躍,,,,,,,223.0,9.0,239.0,14.0,197.0,541.0,2732.0,2337.0,923,118
彭鹏,,,54.0,17.0,25.0,30.0,22.0,2.0,126.0,52.0,44.0,31.0,20.0,1.0,7,33
我乃野云鹤,,,,,,,,,,0.0,9.0,16.0,3.0,0.0,15,1
星巴克女王,,,,,,,,,,,,,24.0,111.0,1040,28
星耀晨曦,,,,,,,,,,,,,,664.0,885,133
春卷柯南,,,,,3.0,63.0,75.0,3.0,171.0,115.0,471.0,1064.0,1086.0,878.0,542,128
暖城2016-02-05,,,,,,,,,,,,,,163.0,602,0
李4,,,,,,,,,,,,,1062.0,1220.0,179,0
杰里毛斯,,,,,,,,,,,,,,,288,1
樑桂,,,,,,,,,,15.0,11.0,11.0,0.0,23.0,34,0
武藏,,,,254.0,415.0,3.0,3.0,9.0,159.0,187.0,85.0,79.0,37.0,39.0,60,15
油条烧饼麻花,,,,,,,,,,,0.0,0.0,4.0,20.0,12,2
淺藍雪,,,,,,,7.0,2.0,0.0,44.0,1120.0,472.0,2222.0,602.0,515,236
瑞丽江的河水,,,,,,,,,,,,,,0.0,622,387
申花蓝血人,,,,,,,,,,,,0.0,0.0,14.0,4,0
石家庄小伙,,,,,,,,,,6.0,0.0,0.0,0.0,4.0,3,2
空间的拓荒者,,,,,,,,,,,,4.0,5.0,4.0,41,5
老陳,,,,,1.0,192.0,267.0,193.0,252.0,248.0,235.0,252.0,306.0,408.0,187,12
胡蘿蔔,,,,,,,,4.0,76.0,20.0,934.0,1613.0,4438.0,1230.0,846,298
脳内補完,,,,,9.0,0.0,0.0,0.0,0.0,36.0,322.0,160.0,14.0,29.0,51,4
苏你妹~,,,,,,,,,,,0.0,63.0,467.0,256.0,77,8
范,,,,,,,,,,985.0,1940.0,1595.0,1140.0,296.0,7,0
葉又嘉,,,,,,,,,,,,,25.0,618.0,683,58
蘇州宇文宙武,,,,1.0,1131.0,239.0,2420.0,0.0,11.0,1435.0,1245.0,881.0,858.0,733.0,121,22
蘭斯特,,,,,,,,,,,,,7.0,5.0,3844,422
追迹未来,,,,,,,,,,,,0.0,641.0,385.0,4,0
金善賢,,,,,,,,,,0.0,35.0,425.0,3.0,7.0,16,0
金牌雄鹰,,,,,,,,,,,,,111.0,74.0,240,15
霧島聖,,,,,,,,,,,458.0,223.0,1260.0,1717.0,743,295
飞贼燕子,,,,,,,,,,,,780.0,164.0,120.0,153,46
香港中立人,,,,,,,,,,,,,,107.0,15,0
骑鹿的阿瑟先生,,,,,,,,,,,,,,,8,1
鱼头炮,,,,,,,,,,,,,,,248,23
